"ID","Type","Name","Documentation","Specialization"
"id-81e796411b014671a516c03e46ce0531","ArchimateModel","Lingkar Puan","",""
"id-8a601107ca24451ca46de3ceffb058d3","BusinessActor","psikolog Hukum Rekan Cerita ","",""
"id-360e3171ce7c425d9c25398d6b4228d0","BusinessActor","Puan ","",""
"id-e8773ac2444b4a1c8106d49113572834","BusinessEvent","Submission from berhasil ","",""
"id-696f99110c334be09e88d98c5c998c93","BusinessFunction","Memfasilitasi Konsultasi Hukum Online","",""
"id-07b509b1772747fc9f8fd9ca098b140a","BusinessObject","Data Psikolog Hukum","",""
"id-d4a6f675a13b44d68b06481ad719af6a","BusinessProcess","From konsultasi Hukum ","",""
"id-9f6143b8dec14727bb3e470b4f390101","BusinessProcess","Konsultasi Via chat dan via Video Chat ","",""
"id-d619be40b5864f038f2f323c627d97d2","BusinessProcess","Melakukan konsultasi ","",""
"id-b1434719ccc841c8bd9f596f30986a84","BusinessProcess","Memilih Pikolog Hukum ","",""
"id-c2b06a4eeb51423baa2afd28d3659691","BusinessProcess","Memilih tanggal, jam, durasi","",""
"id-baaafeb44ca64770b78339063a1caeb6","BusinessProcess","Mengkonfirmasi konsultasi ","",""
"id-0a5a44fc7f324e2aac72e1d659b63f5b","ApplicationCollaboration","Application Collaboration","",""
"id-e58cb1cc288a4d8d8ad999fefd10225d","ApplicationComponent","From Psikolog Hukum ","",""
"id-25b9ce105f35440b81a7b8832fc4230e","ApplicationEvent","Application Event","",""
"id-a3b7d2a16b8742f3952b6fab5a644851","ApplicationEvent","Memfasilitas Hukum Online  ","",""
"id-912938a93a334eafb16278e1a7452939","ApplicationFunction","Application Function","",""
"id-5ec0a8a4a6af44c6b32b9e8a65501c6a","ApplicationFunction","Mengisi From Psikolog Hukum ","",""
"id-be82fe3dedb94b4e979a13ab81d534ff","ApplicationInterface","Website Lingkar Puan","",""
"id-91fc15fb0e5e4d50a8a35dbbdac68fd9","ApplicationService","Application Service","",""
"id-1a95e19236d0443aa9ce845521acb764","ApplicationService","Application Service","",""
"id-8efc118cb8f44c15a1507a4735ac1692","ApplicationService","Application Service","",""
"id-068d75db8e684d96b2455acaf7b0289c","DataObject","Data Konsultasi Hukum Online","",""
"id-17339dec9ef74f2fa9471756741ab61d","DataObject","Data Object","",""
"id-7cac5fdd626f4f98a132445ff9dde688","CommunicationNetwork","Wireless Network","",""
"id-9d067f415c3f43ecbca6d6447a05065f","Device","Personal Computer ","",""
"id-1ef8e4cff0b249778a84603fa8d93233","Facility","Facility","",""
"id-3e1925bfcdad444b99106c43632e6adc","Node","Website server ","",""
"id-2cf35245831e40b4a2bf5919e5dc9596","SystemSoftware","DBMS ","",""
"id-fcd1bc942c9a4ff88d833ce20b9027de","TechnologyFunction","Data Konsultasi Hukum Online","",""
"id-1466fadfd6054217ba784bf9a53b9da3","TechnologyInterface","Website ","",""
"id-eea182ad88754a5b9f48846691e5eb38","TechnologyService","Memfasilitasi  Hukum Online ","",""
"id-12f883cde62943609377760175639480","Assessment","Banyak pelaku kekerasan perempuan masih belum diadili","",""
"id-59da09b6da874f859f95bddf8f324a34","Driver","Banyak korban kekerasan perempuan merasa trauma berkepanjangan","",""
"id-664dd449f6644aa1a740b3b6b149307a","Driver","Banyaknya korban kekerasan pada perempuan yang masih bersembunyi","",""
"id-02aca920f23440b7a2ad60b9322d4801","Driver","Kebutuhan komunitas yang aman bagi perempuan","",""
"id-ccd081241d67485a9415d29926b077a3","Driver","Kebutuhan komunitas yang mendukung penyintas kekerasan pada perempuan","",""
"id-8c3fbcf7a50e49b489a56d1d6f25c5e7","Goal","Menciptakan ruang yang mudah diakses dan aman bagi perempuan ","",""
"id-b05d4404092f4655b6156b6b55da876b","Goal","Meningkatkan keberanian korban untuk bercerita","",""
"id-f5380127b57541c19403e1400af336d0","Goal","Meningkatkan keberanian korban untuk melapor","",""
"id-4cc1d6c117664606b9a1e8979bdf0a9c","Goal","Meningkatkan komunitas yang mendukung korban kekerasan pada perempuan ","",""
"id-65f8e872cde54152a75cec10639a3dfe","Outcome","Meningkatnya pengunggahan artikel minimal sebesar 10% tiap bulannya","",""
"id-3d4a4cb91971421ba526fd27f7015975","Outcome","Minimal sebanyak 50% user Puan telah melakukan pelaporan hukum","",""
"id-7bda32147fdd4323a1151ed5c15152b4","Outcome","Minimal sebanyak 75% user Puan telah berkonsultasi pada psikolog","",""
"id-1bba207ebcc84841910570a596408606","Requirement","Berdiskusi dengan Pengguna Lain","",""
"id-7253ce2c4c964b08aff809061aa98868","Requirement","Melakukan konsultasi hukum ","",""
"id-e5c12872d32e43b39e703ecab6587765","Requirement","Membaca Artikel & Memberikan Komentar","",""
"id-cc4bf288acee4a9c8614e5b9259b6ab3","Requirement","Memfasilitasi Konsultasi Psikolog Online ","",""
"id-407ed7ed6b8e4c198eb424cb763d7a79","Requirement","Penulisan Artikel dan Riwayat Artikel","",""
"id-ce2e0f9ed0d34b8aa005d6cea1cf30a5","Stakeholder","Admin","",""
"id-08440949c3cc4d01987677db22f1e48c","Stakeholder","Hukum (rekan hukum)","",""
"id-0cc7aebc4e7040db9fb6b9eb5c0a7d1b","Stakeholder","Penilik","",""
"id-70194585fbf144a5abc81d8d2ce69669","Stakeholder","Psikolog (rekan cerita)","",""
"id-3d6230a994004148a658e97c93a882f9","Stakeholder","Puan (end-user)","",""
