"ID","Type","Name","Documentation","Specialization"
"id-6f911aae8b7c4f97adc5b3b7392f21ea","ArchimateModel","SIstem ","",""
"id-c575170338084cd0a8935152149feb56","BusinessActor","Dosen","",""
"id-8b102675f8b74e81b2969caa699c16dc","BusinessActor","Mahasiswa","",""
"id-1362547b81754bff86b99c4609dd205f","BusinessActor","Tendik","",""
"id-895e5705e3b24959bbe2465d2f6e8ac0","BusinessCollaboration","Extend Peminjaman Buku","",""
"id-69a7514bcece4b6181c7baedcd2a2761","BusinessFunction","Business Function","",""
"id-4d991ab576514886bbcec8e746789fdc","BusinessFunction","Pengajuan Extend Peminjaman","",""
"id-98760835a6cc4c14a279e880c7d3534e","BusinessFunction","Verifikasi Extend Peminjaman","",""
"id-2d5d98511cf44f3f8e919d23083f8bf8","BusinessInterface","Website Administrator","",""
"id-afccc4a4eb714de5933a82ea750a1842","BusinessInterface","Website Pemustaka","",""
"id-799385adf7984dc8bb7ec3ce46039ad1","BusinessRole","Pemustaka","",""
"id-338cec11f2a949dc9e1ac1d595e5e417","BusinessRole","Pustakawan","",""
"id-12cb9e910c14498c83bf821ff41bf7e1","BusinessService","Layanan Extend Peminjaman Buku","",""
"id-b820fe7e5caf40e09fd0facf83629e30","ApplicationEvent","Permintaan Pengajuan Extend Peminjaman Buku","",""
"id-4d42dbee11ac42028bdfe306933cf8a5","ApplicationFunction","Finalisasi Analisis Pengajuan","",""
"id-1b61d4f651cb4ab98d0d695ac796a342","ApplicationFunction","Transfer Data Ajuan","",""
"id-c889077d61e442b085e0842571085889","ApplicationFunction","Verifikasi Reservasi","",""
"id-212733058811412cacdffb1cb766e2a2","ApplicationProcess","Mendapat Verifikasi Extend Peminjaman Buku","",""
"id-c509c9b80e57494d89c90fe672cd421e","ApplicationService","Memberi Finalisasi Verifikasi","",""
"id-e3b5abadbae44a2e877b0c06982c5ab6","ApplicationService","Mendapatkan Data Ajuan","",""
"id-385fdfec7f144a4494bb0e69b223f6fb","TechnologyEvent","Menambah Data Ajuan Extend Peminjaman Buku","",""
"id-ebd6894d65cd40e0bc0b538f03128ef7","TechnologyFunction","Memantau Status Penambahan","",""
"id-a23a4433103e4cfa88b084060fc0d494","TechnologyFunction","Menangani Penambahan pada Local","",""
"id-735f11ceb6a74aa1aa18339dc4671aa0","TechnologyFunction","Menangani Penambahan pada Remote","",""
"id-410844753a284b74bb4a80330faf9bcf","TechnologyFunction","Mengatur Penambahan","",""
"id-55d2843f345b443fbef5d1739c192b53","TechnologyFunction","Penambahan Data pada Database","",""
"id-901e347b58974019b70f711725f12c6d","TechnologyProcess","Penambahan Remote Data","",""
"id-64cdff8b3092466095452819ab5e4e52","TechnologyService","Menambahkan Data","",""
"id-c474026440ed4ad096a0b2d317f9d282","Assessment","Data Buku sulit didapat","",""
"id-c60a36cfb3844ed5a6474379d80152af","Assessment","Data Pengguna tidak terkelola dengan baik","",""
"id-8431d6579274410bb7883fbd1a339e57","Assessment","Sulitnya Mencari Buku yang Diinginkan","",""
"id-1495b99b59a749d4931fc60e506e503d","Driver","Kesulitan dalam Mendapatkan Buku","",""
"id-1df938536e2c469eb751a8b952dc88bb","Driver","Pengelolaan administrasi kurang optimal","",""
"id-284fa494bdaf45d9bc06a044d41df4f7","Driver","Pengelolaan Buku yang Kurang Efektif","",""
"id-0b7ff6cfe5624ee7b1e89d8b7cb59df3","Goal","Lebih Mudah untuk Mendapatkan Buku","",""
"id-95eef8108d664a4b8829bd0fef0cf9b0","Goal","Membangun Sistem Manajemen Online","",""
"id-4fb2e50e8ea34e838d6d85d42d55ffa4","Goal","Membangun Sistem Manajemen Online (copy)","",""
"id-48f496647ee0444fbe7afc3ee8f3b03d","Outcome","Mempercepat Pencarian Buku","",""
"id-f6726d1bf4284f2ba81f8d2e4afe85f9","Outcome","Mengurangi Waktu Pengelolaan Buku","",""
"id-2aec997da5274da5a2b6ce4f32902c63","Outcome","Mengurangi Waktu Pengelolaan Buku (copy)","",""
"id-a5566fbe03894ba7b7c6e48b34e112ad","Principle","Sistem Informasi yang Dapat Diakses dengan Internet","",""
"id-ff2e7508cdac4d76a4c66f19ac919834","Requirement","","",""
"id-de124a17e2a0499f87b09b9383f98bb9","Requirement","Extend Peminjaman Buku","",""
"id-edc0d12eafe34a2ab13dfde1ea52a6f1","Requirement","Mencari Buku","",""
"id-7ea3fdf46536451baf1f016fa23a8211","Requirement","Mengelola Akun Pengguna","",""
"id-b068d7fd581e48608d347978e0ddb8ad","Requirement","Peminjaman Buku","",""
"id-5fba6fd552824f1ab3cf31099ec0caf1","Requirement","Pengelolaan Data Buku (CRUD)","",""
"id-29aef7ff618246d78b4a01cf0f5cfef4","Requirement","Pengelolaan Data Buku (CRUD) (copy)","",""
"id-1706efba3c0e4ec586b9a4ffab78f5cb","Requirement","Pengembalian Buku","",""
"id-9b52244d654a4551b4d0a7997d9453fb","Stakeholder","Dosen","",""
"id-7938ca3e41a34a39a4f6e91dfc861084","Stakeholder","Pemustaka","",""
"id-ae8627d722b140d0868bf7fa863201cf","Stakeholder","Staf","",""
