"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-e162742f661f4481a30dd510a80a3cf9","AssignmentRelationship","","","id-8b102675f8b74e81b2969caa699c16dc","id-799385adf7984dc8bb7ec3ce46039ad1",""
"id-ad585b609dd849cca0077622e0545ea1","AssignmentRelationship","","","id-8b102675f8b74e81b2969caa699c16dc","id-338cec11f2a949dc9e1ac1d595e5e417",""
"id-31c0ec40ffcc482e927dceb448a76620","AssignmentRelationship","","","id-c575170338084cd0a8935152149feb56","id-799385adf7984dc8bb7ec3ce46039ad1",""
"id-aebcf59b19cd4c9ba6f5da0d6e55e103","AssignmentRelationship","","","id-c575170338084cd0a8935152149feb56","id-338cec11f2a949dc9e1ac1d595e5e417",""
"id-7ae34db545fa464d9243e58dd01ea107","AssignmentRelationship","","","id-1362547b81754bff86b99c4609dd205f","id-338cec11f2a949dc9e1ac1d595e5e417",""
"id-97ffce8b80894d7fab23f637365f23a9","AssignmentRelationship","","","id-895e5705e3b24959bbe2465d2f6e8ac0","id-4d991ab576514886bbcec8e746789fdc",""
"id-c6350659b0314654ba80b3b600cdc4c2","AssignmentRelationship","","","id-895e5705e3b24959bbe2465d2f6e8ac0","id-98760835a6cc4c14a279e880c7d3534e",""
"id-9a2759c571ee42389c07ce5d29630088","AssociationRelationship","","","id-ae8627d722b140d0868bf7fa863201cf","id-284fa494bdaf45d9bc06a044d41df4f7",""
"id-d35fe90e47244a4aaf97465942ed4d1f","AssociationRelationship","","","id-284fa494bdaf45d9bc06a044d41df4f7","id-c474026440ed4ad096a0b2d317f9d282",""
"id-31425de02f0648cea93b118979ea032c","AssociationRelationship","","","id-c474026440ed4ad096a0b2d317f9d282","id-95eef8108d664a4b8829bd0fef0cf9b0",""
"id-45147050ba7e415e8ed6f38cbd17c140","AssociationRelationship","","","id-95eef8108d664a4b8829bd0fef0cf9b0","id-f6726d1bf4284f2ba81f8d2e4afe85f9",""
"id-5ae891d154e649b5826e930a722ac14b","AssociationRelationship","","","id-7938ca3e41a34a39a4f6e91dfc861084","id-1495b99b59a749d4931fc60e506e503d",""
"id-604b16bba7dd490fbfc53c1ea3aeeab0","AssociationRelationship","","","id-1495b99b59a749d4931fc60e506e503d","id-8431d6579274410bb7883fbd1a339e57",""
"id-5db2279531be4794a712a31d3d1036a4","AssociationRelationship","","","id-8431d6579274410bb7883fbd1a339e57","id-0b7ff6cfe5624ee7b1e89d8b7cb59df3",""
"id-35b8ea0fda0b40eba6020506b7d471dc","AssociationRelationship","","","id-0b7ff6cfe5624ee7b1e89d8b7cb59df3","id-48f496647ee0444fbe7afc3ee8f3b03d",""
