"ID","Type","Name","Documentation","Specialization"
"id-81e796411b014671a516c03e46ce0531","ArchimateModel","Lingkar Puan","",""
"id-9fd06194035b46f98ee3b333f9376644","BusinessActor","Pengguna (Puan, Rekan Cerita, Rekan Hukum)","",""
"id-ae68726979464cc784fe435ddbd152a6","BusinessEvent","Melihat artikel","",""
"id-9ed7f0c2522f489a99bd5cf32e22abd0","BusinessEvent","Melihat artikel","",""
"id-19ebaa38c73f49fc80ac57ddf58ad50c","BusinessEvent","Memilih artikel yang akan dibaca","",""
"id-af2fc9e0f2ef4ef1bbb040a23a4b6fd7","BusinessEvent","Menampilkan artikel yang dipilih","",""
"id-b9c56799ec804d57bd0b11f3897ec6fa","BusinessEvent","Mengirim komentar","",""
"id-0a51bcaaa333473e9c8929357215920a","BusinessFunction","Membaca artikel & memberikan komentar","",""
"id-70f69d23508e4a45a401a484490f9c0b","BusinessObject","Data artikel","",""
"id-afbf6777528b432b80c3c522a5af54b4","BusinessProcess","","",""
"id-6ec7f41f828646b980259efbcba0351e","BusinessProcess","Komentar terkirim","",""
"id-eef0ae47a8aa465babcb4927e86c1a42","BusinessProcess","Membaca Artikel","",""
"id-19c8d4ecc02447c5a80865cb819906ae","BusinessProcess","Memberikan komentar","",""
"id-2365863461774a7cb1988f40959ec5e3","BusinessProcess","Memilih artikel yang akan dibaca","",""
"id-0c2a0e1bdb594ff683ae71cc00e93450","ApplicationComponent","Artikel","",""
"id-f1824b409f7546b08b6e756adc52288f","ApplicationComponent","Konsultasi","",""
"id-9c17c79f44d94f79b593adc8efe05098","ApplicationFunction","History ajuan konsultasi","",""
"id-8da867d9db284e66876a176cb0a79192","ApplicationFunction","Konsultasi Psikologi","",""
"id-0223a292a8d04ddf8e8db8fcf23bbbe2","ApplicationFunction","Melihat Artikel Saya","",""
"id-2908b8c6ac6d46a49cbe53d0863134af","ApplicationFunction","Melihat history pengajuan konsultasi","",""
"id-7a8041f88f8f446291786bd8038dd321","ApplicationFunction","Membaca dan Memberi Komentar pada Artikel","",""
"id-86d7bf738f524e2db47cf76b81c3f25b","ApplicationFunction","Menampilkan Halaman Artikel","",""
"id-ee267a8849da48228e8930ac62d2970a","ApplicationFunction","Menampilkan Halaman Konsultasi","",""
"id-d51d7d327b8c4ac78f32e76072e268ca","ApplicationFunction","Menulis","",""
"id-228b55cdfc0b4555985b0c60cd6a9361","ApplicationFunction","Menulis Artikel","",""
