"ID","Key","Value"
"id-a3e9bd59b2754edaa4a356d042c8bb23","Directed","false"
"id-aba05ade64d64da7b8a553cfcefe5e1a","Directed","false"
"id-b4664edde5a64e5bb2ded29f555448f9","Directed","false"
"id-5da068fd24b8413a9404dc802863b7e4","Directed","false"
"id-abe2d69fa6fc44c894bae40d84db3462","Directed","false"
"id-2d0983cac75543d5b2d7146289700192","Directed","false"
"id-ff9d4ac1e51848268cbe5d467e0d6540","Directed","false"
"id-3e10ec708ac1468c8266975e42e5597a","Directed","false"
"id-7106bbd8f81b450c83b28af9ed806869","Directed","false"
"id-b7875d8ac06f4b0ead2935b43202a3bf","Directed","false"
"id-c425618d96f74581b008baf06cae2485","Directed","false"
"id-9b043f192b0f4ca2a0816781c320d5f8","Directed","false"
"id-7a083426367c4e14805277ef21f5dc73","Directed","false"
"id-184df711f0724b0d8c4979df9a57b6fe","Directed","false"
"id-30c0d5260486429c9b9d615fde95d682","Directed","false"
"id-2b45aea60e884284977167ee511dc205","Directed","false"
"id-86861b9621414971b67773f6fc57c86c","Directed","false"
"id-271d4eb64ad84ebe93f30ca2332b8cc0","Directed","false"
"id-9dd3aa49d0ae4cf6b329be86cac9a1ca","Directed","false"
"id-2869cdc0cd1d4afba7dda77e17061f94","Directed","false"
"id-4508307359654a4e933f4c1eafb61592","Directed","false"
"id-8ad7cd157e0a4f7faf0aa97d662dfde1","Directed","false"
"id-d560a2618a974f38ab807436c8c444d1","Directed","false"
"id-3e8c99f8f2484de19a0cba48b56a073a","Access_Type","Write"
"id-9ed5c06a863a4b05a4c0650cbe569462","Directed","false"
"id-b9f763ec57674bc7a1bb675d0b2c0b07","Directed","false"
"id-2fa5865c191344a0bb1d85be6138df1d","Directed","false"
"id-32c83ae0824644ca812b1a618cfd374c","Directed","false"
"id-ff2c2736bc794defa7f279d80bc9c701","Access_Type","Write"
"id-dd278010d98646ce84cc4eb55e2f7f42","Access_Type","Write"
"id-63144f7866b04a3cb29c18411ed11b24","Directed","false"
"id-246a2b254d2d42d5a90df1febda98ae3","Directed","false"
"id-335da8bb492f49a0a5378c2584f63651","Directed","false"
"id-4643d7f6380640a5a67d201b2df9c47a","Access_Type","Write"
"id-1542034023b54688a645f22c2df35ef6","Access_Type","Write"
"id-d5ae1cc5aa654bc080945702879888c0","Directed","false"
"id-cc2d00e0fd4e46fb957282fae9864965","Directed","false"
"id-25fbd83012044d3887c433b2a61499fd","Access_Type","Write"
"id-72855df6620d44fba84a56e2d5590989","Access_Type","Write"
