"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-3e8c99f8f2484de19a0cba48b56a073a","AccessRelationship","","","id-eef0ae47a8aa465babcb4927e86c1a42","id-70f69d23508e4a45a401a484490f9c0b",""
"id-ff2c2736bc794defa7f279d80bc9c701","AccessRelationship","","","id-86d7bf738f524e2db47cf76b81c3f25b","id-77b9df93e50c401aaa596e06afb3f51b",""
"id-dd278010d98646ce84cc4eb55e2f7f42","AccessRelationship","","","id-7a8041f88f8f446291786bd8038dd321","id-77b9df93e50c401aaa596e06afb3f51b",""
"id-4643d7f6380640a5a67d201b2df9c47a","AccessRelationship","","","id-9c17c79f44d94f79b593adc8efe05098","id-eaa8c328461f4f5ab886ed6708ecfce2",""
"id-1542034023b54688a645f22c2df35ef6","AccessRelationship","","","id-2908b8c6ac6d46a49cbe53d0863134af","id-eaa8c328461f4f5ab886ed6708ecfce2",""
"id-25fbd83012044d3887c433b2a61499fd","AccessRelationship","","","id-bc69bdc429764b73b9e75bca872dc5ae","id-6c4032a4cc0246f7b61473d49b34ab95",""
"id-72855df6620d44fba84a56e2d5590989","AccessRelationship","","","id-48d0018f187042ddbd8ac092a9786b73","id-6c4032a4cc0246f7b61473d49b34ab95",""
"id-ff2b2f37936348ef92e850c2ef3a7667","AssignmentRelationship","","","id-9fd06194035b46f98ee3b333f9376644","id-eef0ae47a8aa465babcb4927e86c1a42",""
"id-55118ed96a3c4ad193de9dba3c9816c1","AssignmentRelationship","","","id-9fd06194035b46f98ee3b333f9376644","id-0a51bcaaa333473e9c8929357215920a",""
"id-a57d210b945148f88e35d5e047392395","AssignmentRelationship","","","id-0c2a0e1bdb594ff683ae71cc00e93450","id-86d7bf738f524e2db47cf76b81c3f25b",""
"id-f19851e350e94a9fbb2dcf8e05e00064","AssignmentRelationship","","","id-f1824b409f7546b08b6e756adc52288f","id-ee267a8849da48228e8930ac62d2970a",""
"id-415c562bb00d4954a01050d7f5123eaf","AssignmentRelationship","","","id-0c2a0e1bdb594ff683ae71cc00e93450","id-228b55cdfc0b4555985b0c60cd6a9361",""
"id-eaf71ce17fb34f559aa45d5245052835","AssignmentRelationship","","","id-303489163c534e629b5f72b7ed093d58","id-6c4032a4cc0246f7b61473d49b34ab95",""
"id-a3e9bd59b2754edaa4a356d042c8bb23","AssociationRelationship","","","id-70194585fbf144a5abc81d8d2ce69669","id-59da09b6da874f859f95bddf8f324a34",""
"id-aba05ade64d64da7b8a553cfcefe5e1a","AssociationRelationship","","","id-08440949c3cc4d01987677db22f1e48c","id-664dd449f6644aa1a740b3b6b149307a",""
"id-b4664edde5a64e5bb2ded29f555448f9","AssociationRelationship","","","id-3d6230a994004148a658e97c93a882f9","id-664dd449f6644aa1a740b3b6b149307a",""
"id-5da068fd24b8413a9404dc802863b7e4","AssociationRelationship","","","id-3d6230a994004148a658e97c93a882f9","id-59da09b6da874f859f95bddf8f324a34",""
"id-abe2d69fa6fc44c894bae40d84db3462","AssociationRelationship","","","id-3d6230a994004148a658e97c93a882f9","id-02aca920f23440b7a2ad60b9322d4801",""
"id-2d0983cac75543d5b2d7146289700192","AssociationRelationship","","","id-3d6230a994004148a658e97c93a882f9","id-ccd081241d67485a9415d29926b077a3",""
"id-ff9d4ac1e51848268cbe5d467e0d6540","AssociationRelationship","","","id-0cc7aebc4e7040db9fb6b9eb5c0a7d1b","id-02aca920f23440b7a2ad60b9322d4801",""
"id-3e10ec708ac1468c8266975e42e5597a","AssociationRelationship","","","id-ce2e0f9ed0d34b8aa005d6cea1cf30a5","id-ccd081241d67485a9415d29926b077a3",""
"id-7106bbd8f81b450c83b28af9ed806869","AssociationRelationship","","","id-664dd449f6644aa1a740b3b6b149307a","id-12f883cde62943609377760175639480",""
"id-b7875d8ac06f4b0ead2935b43202a3bf","AssociationRelationship","","","id-664dd449f6644aa1a740b3b6b149307a","id-f5380127b57541c19403e1400af336d0",""
"id-c425618d96f74581b008baf06cae2485","AssociationRelationship","","","id-59da09b6da874f859f95bddf8f324a34","id-b05d4404092f4655b6156b6b55da876b",""
"id-9b043f192b0f4ca2a0816781c320d5f8","AssociationRelationship","","","id-02aca920f23440b7a2ad60b9322d4801","id-8c3fbcf7a50e49b489a56d1d6f25c5e7",""
"id-7a083426367c4e14805277ef21f5dc73","AssociationRelationship","","","id-ccd081241d67485a9415d29926b077a3","id-4cc1d6c117664606b9a1e8979bdf0a9c",""
"id-184df711f0724b0d8c4979df9a57b6fe","AssociationRelationship","","","id-f5380127b57541c19403e1400af336d0","id-3d4a4cb91971421ba526fd27f7015975",""
"id-30c0d5260486429c9b9d615fde95d682","AssociationRelationship","","","id-b05d4404092f4655b6156b6b55da876b","id-7bda32147fdd4323a1151ed5c15152b4",""
"id-2b45aea60e884284977167ee511dc205","AssociationRelationship","","","id-8c3fbcf7a50e49b489a56d1d6f25c5e7","id-65f8e872cde54152a75cec10639a3dfe",""
"id-86861b9621414971b67773f6fc57c86c","AssociationRelationship","","","id-4cc1d6c117664606b9a1e8979bdf0a9c","id-65f8e872cde54152a75cec10639a3dfe",""
"id-271d4eb64ad84ebe93f30ca2332b8cc0","AssociationRelationship","","","id-3d4a4cb91971421ba526fd27f7015975","id-7253ce2c4c964b08aff809061aa98868",""
"id-9dd3aa49d0ae4cf6b329be86cac9a1ca","AssociationRelationship","","","id-3d4a4cb91971421ba526fd27f7015975","id-1bba207ebcc84841910570a596408606",""
"id-2869cdc0cd1d4afba7dda77e17061f94","AssociationRelationship","","","id-7bda32147fdd4323a1151ed5c15152b4","id-1bba207ebcc84841910570a596408606",""
"id-4508307359654a4e933f4c1eafb61592","AssociationRelationship","","","id-7bda32147fdd4323a1151ed5c15152b4","id-cc4bf288acee4a9c8614e5b9259b6ab3",""
"id-8ad7cd157e0a4f7faf0aa97d662dfde1","AssociationRelationship","","","id-65f8e872cde54152a75cec10639a3dfe","id-407ed7ed6b8e4c198eb424cb763d7a79",""
"id-d560a2618a974f38ab807436c8c444d1","AssociationRelationship","","","id-65f8e872cde54152a75cec10639a3dfe","id-e5c12872d32e43b39e703ecab6587765",""
