"ID","Type","Name","Documentation","Specialization"
"id-da5014cc6c554e25b0376eb87320a230","ArchimateModel","ets","",""
"id-1e12934abf7248e9b944e532d126fc4d","BusinessActor","Staf","",""
"id-c040a9c6f341449f98fb6a409a252226","BusinessEvent","Melakukan konfirmasi hapus","",""
"id-2ce1c71ac9cb4ecaadc01092255255b8","BusinessEvent","Melakukan konfirmasi perubahan","",""
"id-c99d8670bc854f8ea29aac6dd7cf7875","BusinessEvent","Menampilkan data","",""
"id-6d07b8ba417b4d269703de0ab41b0f52","BusinessEvent","Menampilkan form data ","",""
"id-7b47d67aa6b946a39cbf955161290789","BusinessEvent","Menampilkan form pencarian","",""
"id-78771f03cd4b4cf18c1d816fbdd77d1b","BusinessEvent","Menampilkan form pencarian","",""
"id-2f7c23b24e7a41e3b5c4a29b84037de2","BusinessEvent","Menampilkan form tambah pengguna","",""
"id-fcbec61550844265a453dfa368f95f7f","BusinessEvent","Mencari akun pengguna","",""
"id-14ff2c860b294463a77c5288af006e51","BusinessEvent","Menyimpan data","",""
"id-6c5877684a224ab2a20b53f73bb21c81","BusinessEvent","Request tambah pengguna","",""
"id-1b51589bc9c94f9dad77093c17b8940c","BusinessEvent","Request update data pengguna","",""
"id-19239f736121414e8377d3f0a6686e88","BusinessFunction","Mengelola data pengguna","",""
"id-61446ffd63c348f4b9bb3a6ce6828e18","BusinessInterface","Website interface","",""
"id-0f34e76e7eef49f2b541224e51c2f9f1","BusinessProcess","Melihat akun pengguna","",""
"id-58564acc973643f7ab3dfa83f82b0200","BusinessProcess","Menambah pengguna","",""
"id-0452d803958b45589fbe629140a87e38","BusinessProcess","Menghapus pengguna","",""
"id-66b4a1fc3d76413ca1818fd72d5cfdcf","BusinessProcess","Mengisi data","",""
"id-b9255fdeb21a4912abfdba328f8d6158","BusinessProcess","Mengisi data","",""
"id-23245d2b65344950a6335983ddc366b9","BusinessProcess","Mengisi data perubahan","",""
"id-b4deed7310ef469ea6513a0980a6ee7f","BusinessProcess","Mengubah data pengguna","",""
"id-aad9e39181b5448299187a297fe13247","BusinessRole","Admin","",""
"id-aae76b815c094520b0ffb0eff04d0bbf","BusinessService","Service pengelolaan akun","",""
"id-573ba7f9fdb54aa0a86688fba6ef9657","ApplicationComponent","Data akun pengguna","",""
"id-9bc380d31e6840e9be7a32d58e1f50ec","ApplicationComponent","Data akun pengguna (copy)","",""
