"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-be1597296af64764b56667feae220220","AssignmentRelationship","","","id-1e12934abf7248e9b944e532d126fc4d","id-aad9e39181b5448299187a297fe13247",""
"id-6cdffb41409c470c816b43093858fa65","AssignmentRelationship","","","id-58183f01bd344934be0ea1e83403b702","id-c24a4b89ed7742debe850e72bc758de7",""
"id-f63991bc3056426fb3a6283f1f2e06ce","AssignmentRelationship","","","id-58183f01bd344934be0ea1e83403b702","id-ed9779eebc364fecb881578efdd8a0db",""
"id-a039f407309f45d69d7ba1f8052a9df4","AssignmentRelationship","","","id-573ba7f9fdb54aa0a86688fba6ef9657","id-9da59804df1646e7992b170a54e134b2",""
"id-d555b828ed5f4210818c046288c65b74","AssignmentRelationship","","","id-9bc380d31e6840e9be7a32d58e1f50ec","id-52dc516e7c2f41d2919457f6a17aff96",""
"id-f40b1e7176fe4f0cb8eb746444fc9459","AssignmentRelationship","","","id-611ed1fd45334b45ba1574e2b2fea176","id-7e9bc583cb454f05a63b47e0f64b4f03",""
"id-50c338009564467ab158619affa59c26","AssignmentRelationship","","","id-5e1d226c15644c91afb32f17103f8e4e","id-7e9bc583cb454f05a63b47e0f64b4f03",""
"id-650d05dc9ced4bc6b4033d2ef3e3d42d","AssociationRelationship","","","id-aad9e39181b5448299187a297fe13247","id-61446ffd63c348f4b9bb3a6ce6828e18",""
"id-c4ebbfa9c93041049e9d410078a8502c","AssociationRelationship","","","id-61446ffd63c348f4b9bb3a6ce6828e18","id-aae76b815c094520b0ffb0eff04d0bbf",""
"id-458530e00cec4e55834cdbc275a291f7","AssociationRelationship","","","id-7e9bc583cb454f05a63b47e0f64b4f03","id-9118278913ca4d77a57f2411d389c4c1",""
"id-317963de76514963871c5994761b0436","AssociationRelationship","","","id-c0718cb707834dcc8e1b3e0a517667e6","id-9da59804df1646e7992b170a54e134b2",""
"id-4feb91a99cb44f6a91a5a27f1c7b1fdf","AssociationRelationship","","","id-efee49cf689e4a739fc0328cd69e0cb4","id-9da59804df1646e7992b170a54e134b2",""
"id-91c49c2901a34750b2760c4aefc2b6e8","AssociationRelationship","","","id-4982953741374ed886eae3a4e917692b","id-0452d803958b45589fbe629140a87e38",""
"id-6f105e58df4a405a8a88883234a6745c","AssociationRelationship","","","id-8b128c09a26a4114977e6e7f81237c18","id-b4deed7310ef469ea6513a0980a6ee7f",""
"id-6fce1105471e43c7a30ae693cc72fbe3","AssociationRelationship","","","id-8b128c09a26a4114977e6e7f81237c18","id-58564acc973643f7ab3dfa83f82b0200",""
"id-744759ad88424bb3817bd458ad4c6ca3","AssociationRelationship","","","id-46badb87f7fb49cbadc12c3e9789c935","id-19239f736121414e8377d3f0a6686e88",""
"id-59b39e0efd594cc2aeff332d8d219243","AssociationRelationship","","","id-f0a2737a9fe743de9e63e77632f794aa","id-d96f3633bbd9468687182ed36b684109",""
"id-5f4ce57b0495497793235ac60db2dab1","AssociationRelationship","","","id-d94b0678007240c9ac5bf5bfa52c0bad","id-f7e31fa738c14124927ee80f33c8ab75",""
"id-50dbdd04f9ac452596b19ac101244192","AssociationRelationship","","","id-464beb6b6cd349eea027ca1a1cbea296","id-ec63308272b544c5b8109f23c6388be1",""
"id-d88d541e5b694e529c1b117a78b116de","AssociationRelationship","","","id-464beb6b6cd349eea027ca1a1cbea296","id-f7e31fa738c14124927ee80f33c8ab75",""
"id-767df44a71eb4f4fb8a3ae946d75412b","AssociationRelationship","","","id-b7fed41e9c824ce28cc687e9285f530e","id-0ea5c377840a44caaafd0f96a6d9ddef",""
"id-d35d3e8aec6c4be9bb75468fb4fb88a4","AssociationRelationship","","","id-6e182d138dfc4c6b9a048e559d8e520f","id-ec63308272b544c5b8109f23c6388be1",""
"id-153cf9da89814e63842fd5e9a845a09a","AssociationRelationship","","","id-2cb5b4ec384c44148594c6a2f5c1fa3f","id-34505f5b39d7442da5cd325c13b53f9e",""
"id-a79888690d5c4862aff25d9504f8ef52","AssociationRelationship","","","id-0ea5c377840a44caaafd0f96a6d9ddef","id-d94b0678007240c9ac5bf5bfa52c0bad",""
"id-3114621861fc4c18b00d3963d81172ee","AssociationRelationship","","","id-34505f5b39d7442da5cd325c13b53f9e","id-d96f3633bbd9468687182ed36b684109",""
"id-fd04b4ca2ffb445986c99e70a8fe545b","CompositionRelationship","","","id-19239f736121414e8377d3f0a6686e88","id-0f34e76e7eef49f2b541224e51c2f9f1",""
"id-7868ffa233fa4bc99712f2d15939b8be","CompositionRelationship","","","id-0f34e76e7eef49f2b541224e51c2f9f1","id-66b4a1fc3d76413ca1818fd72d5cfdcf",""
"id-c11a4eb4c15a4b1992b22cb38ab08f30","CompositionRelationship","","","id-58564acc973643f7ab3dfa83f82b0200","id-b9255fdeb21a4912abfdba328f8d6158",""
"id-927be48fc0f345d8bb637b85c1091a7a","CompositionRelationship","","","id-19239f736121414e8377d3f0a6686e88","id-58564acc973643f7ab3dfa83f82b0200",""
"id-86383adb8ed04940bf8e75231797a1c8","CompositionRelationship","","","id-b4deed7310ef469ea6513a0980a6ee7f","id-23245d2b65344950a6335983ddc366b9",""
"id-d7ce05d272da4d84ad4043af087dfc03","CompositionRelationship","","","id-19239f736121414e8377d3f0a6686e88","id-b4deed7310ef469ea6513a0980a6ee7f",""
"id-d90c40a72b5847dc979c192267b6294f","CompositionRelationship","","","id-19239f736121414e8377d3f0a6686e88","id-0452d803958b45589fbe629140a87e38",""
"id-59d64252e68e4508bc4630086dd2ee39","CompositionRelationship","","","id-7e9bc583cb454f05a63b47e0f64b4f03","id-58183f01bd344934be0ea1e83403b702",""
"id-ff89dc5f997a43b59847d794f54de3cf","CompositionRelationship","","","id-7e9bc583cb454f05a63b47e0f64b4f03","id-56b9eda01a0949c4a700c0bfc749b655",""
"id-cd570b6fa794443981f1e02cb972d07f","RealizationRelationship","","","id-19239f736121414e8377d3f0a6686e88","id-aae76b815c094520b0ffb0eff04d0bbf",""
"id-a36264b2ff9d48dd89ecf9f5694a85b8","RealizationRelationship","","","id-c24a4b89ed7742debe850e72bc758de7","id-c0718cb707834dcc8e1b3e0a517667e6",""
"id-e7da0ab792ed4bff9096f6bf098b2615","RealizationRelationship","","","id-ed9779eebc364fecb881578efdd8a0db","id-efee49cf689e4a739fc0328cd69e0cb4",""
"id-f98f8b8202f84bd29a260fe9c8739bb1","RealizationRelationship","","","id-9da59804df1646e7992b170a54e134b2","id-8b128c09a26a4114977e6e7f81237c18",""
"id-eb5bcc220f4a4da6bc3312acc1681d92","RealizationRelationship","","","id-52dc516e7c2f41d2919457f6a17aff96","id-166153c537204835a940139471572a70",""
"id-5dadcc3773c24a93a72265b76069f618","RealizationRelationship","","","id-52dc516e7c2f41d2919457f6a17aff96","id-fdb5f0f5ca7940e08fa305003879573f",""
"id-03c9b247326a4419a81bdfe65b1a6ac5","RealizationRelationship","","","id-52dc516e7c2f41d2919457f6a17aff96","id-641b6c5c21104002b50733eb8d35d6dd",""
"id-06128f43587545519a63fadc8a48f053","RealizationRelationship","","","id-9da59804df1646e7992b170a54e134b2","id-4982953741374ed886eae3a4e917692b",""
"id-41151a001cee4b678e29bd5808c89f0b","RealizationRelationship","","","id-9da59804df1646e7992b170a54e134b2","id-46badb87f7fb49cbadc12c3e9789c935",""
"id-753d7254c11a46318c5beb0407faef91","RealizationRelationship","","","id-aae76b815c094520b0ffb0eff04d0bbf","id-e54cb5dafb394e7688db6b5afa652275",""
"id-161f9cec27b8477d9c4241e4cc861ef3","RealizationRelationship","","","id-64591ece27fe472ab1dbea4b1d9659d3","id-b7fed41e9c824ce28cc687e9285f530e",""
"id-a9d7a217c9d0486da46856bed16577e1","RealizationRelationship","","","id-dd0cee0d95e24beebf47185c8dcc391f","id-6e182d138dfc4c6b9a048e559d8e520f",""
"id-5258626054ea4a94a9c2079eb3d1767c","RealizationRelationship","","","id-00549c64e80643409c37a7ed8d45a7c7","id-b7fed41e9c824ce28cc687e9285f530e",""
"id-0a7fafffc1544cbe9aad0e80629ef34f","RealizationRelationship","","","id-16678d5b6d50495db805d4ba14777cdc","id-f0a2737a9fe743de9e63e77632f794aa",""
"id-476b648affff4bd489246f03ec0cfcb5","RealizationRelationship","","","id-ad78c9e70f974e8db97fafbd01395d57","id-b7fed41e9c824ce28cc687e9285f530e",""
"id-282fff138aab4d8a8f997f8885e1c796","RealizationRelationship","","","id-d20afaa273ef41898677a4de99c96367","id-f0a2737a9fe743de9e63e77632f794aa",""
