"ID","Type","Name","Documentation","Specialization"
"id-669d9cba1768450bad1b2218ee0f1fbd","ArchimateModel","ETS","",""
"id-0f5ea7e328e243559404f962cd0dbc14","BusinessActor","Pengguna (Puan dan Penilik)","",""
"id-590729abd76b40c78db86f0adcbbf5ba","BusinessEvent","Melihat artikel","",""
"id-2597a4ffb22c43b9a83fa657400aa0a8","BusinessEvent","Menampilkan komentar yang telah ditulis","",""
"id-7e8aea51fd1e4b28807371065f16a768","BusinessFunction","Berdiskusi dengan Pengguna Lain","",""
"id-68c3a866175a47f7987f75b7998591ec","BusinessProcess","Membaca artikel","",""
"id-4afdfc2452f04bff9e3d801505ba5e19","BusinessProcess","Menulis komentar","",""
"id-64ece30ddd2e456ab68f999b2319bc81","BusinessRole","Penyedia aplikasi LingkarPuan","",""
"id-3cbb27923dfc41e58b832855e649ff97","ApplicationComponent","Baca Artikel","",""
"id-cc0aaadfcae942ae86b9bc28c2bcb40c","ApplicationEvent","Melihat artikel","",""
"id-b01a69a625b645d69065e5600abc7c7c","ApplicationEvent","Menampilkan komentar yang telah ditulis","",""
"id-878bfaf8cefa43959409bd71aa40ac0c","ApplicationFunction","Berdiskusi dengan Pengguna Lain","",""
"id-d7268eba4f734c21bc0d09f39e59629a","ApplicationInterface","Frontend artikel","",""
"id-0b6040572e35471c912fa09784dbc809","ApplicationProcess","Membaca artikel","",""
"id-ce54a32f5ff14a969235cc3ee3955a06","ApplicationProcess","Menulis komentar","",""
"id-4e8e6260c4a44060a4927fe09942f453","CommunicationNetwork","LAN","",""
"id-f6f57c63463046da9267bccd66d0c0ae","CommunicationNetwork","WiFi/WAN/Wireless","",""
"id-2a4cbf64484a49be8f723d5f86997d1c","Device","Linux Server","",""
"id-dfec94800cef4328a41535d175ec466e","Device","User devices","",""
"id-6403a159a63a42cda9c6edeb0f5e7b67","Node","DBMS","",""
"id-b3b74af891174589959fb100f2393276","Node","Firewall","",""
"id-2e6c364ed67348d58198521b1bc156f5","Node","Main server","",""
"id-ca647e228a7f45d9968d03a442801820","Node","Server","",""
"id-c8fcce88e32d4be7b2924ebe46d14d4a","Node","Storage","",""
"id-edff1903631f4edea75c14680fd60d89","SystemSoftware","Tableau","",""
"id-8e1b0396a0a04ad6afe12aa03b23f499","TechnologyFunction","Membuat artikel","",""
"id-d74f28de035d454a8fd3157f711558a9","TechnologyProcess","Menampilkan form baru","",""
"id-42e318da7de1492f801a575d6b495cf1","TechnologyProcess","Mengirim notifikasi","",""
"id-40aa514cefc24824b20b9971bcc3817e","TechnologyProcess","Update database","",""
"id-84b15e175769495a8f94ce594112d0b4","TechnologyService","Database service","",""
"id-558af96439cf49ff8fd537f116fe7079","TechnologyService","Layanan notifikasi","",""
"id-222eb8855843428f967c4796b5f816ad","TechnologyService","Network service","",""
"id-d82abc2e3ad04be78f792e9707ac36ae","TechnologyService","Statistic service","",""
"id-28599043c73e4558be7773b294e84f21","Assessment","Banyak pelaku kekerasan perempuan masih belum diadili","",""
"id-81ffe04432294bbf8914aed6da2c909e","Driver","Banyak korban kekerasan perempuan merasa trauma berkepanjangan","",""
"id-6d320d1260e14448b4e0cff6f3f45247","Driver","Banyaknya korban kekerasan pada perempuan yang masih bersembunyi","",""
"id-3d1957de567f4f298d15b8cb1f868daa","Driver","Kebutuhan komunitas yang aman bagi perempuan","",""
"id-9ce28fda865346fa84d03eb53722dfb5","Driver","Kebutuhan komunitas yang mendukung penyintas kekerasan pada perempuan","",""
"id-78ec71fbb9394227bfb3170995938055","Goal","Menciptakan ruang yang mudah diakses dan aman bagi perempuan ","",""
"id-ac1116e0f16644fb8e7de98a63095203","Goal","Meningkatkan keberanian korban untuk bercerita","",""
"id-dbcca911e3904ca3825d8afdb1bd660a","Goal","Meningkatkan keberanian korban untuk melapor","",""
"id-2819a2fb04cc4ac9bfccd14866411d0d","Goal","Meningkatkan komunitas yang mendukung korban kekerasan pada perempuan ","",""
"id-47f380599cc94b8ca20c64ed8bec0828","Outcome","Meningkatnya pengunggahan artikel minimal sebesar 10% tiap bulannya","",""
"id-f5779f784f04434a99f9eb1f77b30c6f","Outcome","Minimal sebanyak 50% user Puan telah melakukan pelaporan hukum","",""
"id-b3ebe190264f44eb8f097bdd832c9bcd","Outcome","Minimal sebanyak 75% user Puan telah berkonsultasi pada psikolog","",""
"id-dc8f879815d146518aadeca231fde5aa","Requirement","Berdiskusi dengan Pengguna Lain","",""
"id-c7107f0b2e71484c816dac3930ab31ef","Requirement","Melakukan konsultasi hukum ","",""
"id-3d71601f4c7e4d6196d3444934c7e575","Requirement","Membaca Artikel & Memberikan Komentar","",""
"id-7b74021e1ce842c09707e783557ff383","Requirement","Memfasilitasi Konsultasi Psikolog Online ","",""
"id-47f6a706fbe840ada566b4b789d1ddac","Requirement","Penulisan Artikel dan Riwayat Artikel","",""
"id-4d1828925c854ddc9b91a63bd0445498","Stakeholder","Admin","",""
"id-908b4de8f85940c384eb222de94f1828","Stakeholder","Hukum (rekan hukum)","",""
"id-101523f3fea74255936a76cb9a31454a","Stakeholder","Penilik","",""
"id-e8ec122428ec483e81a4465099ddc718","Stakeholder","Psikolog (rekan cerita)","",""
"id-2accdb4060f14dad910274f4b40ade61","Stakeholder","Puan (end-user)","",""
