"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-daec46e5369d47638534356aaa21c8b0","AssignmentRelationship","","","id-0f5ea7e328e243559404f962cd0dbc14","id-64ece30ddd2e456ab68f999b2319bc81",""
"id-f163ddd5f1b641c5bd701ad80a3a3411","AssignmentRelationship","","","id-3cbb27923dfc41e58b832855e649ff97","id-878bfaf8cefa43959409bd71aa40ac0c",""
"id-22737e0951a148449dfcf8ab6c431b29","AssignmentRelationship","","","id-0f5ea7e328e243559404f962cd0dbc14","id-7e8aea51fd1e4b28807371065f16a768",""
"id-18d55236e8054ae79350aa9539d0ae21","AssociationRelationship","","","id-9ce28fda865346fa84d03eb53722dfb5","id-2819a2fb04cc4ac9bfccd14866411d0d",""
"id-4fd942dac12747e89769096d2b1ee705","AssociationRelationship","","","id-2accdb4060f14dad910274f4b40ade61","id-81ffe04432294bbf8914aed6da2c909e",""
"id-5e16e1fc3cdc4abea6fa81685107c559","AssociationRelationship","","","id-e8ec122428ec483e81a4465099ddc718","id-81ffe04432294bbf8914aed6da2c909e",""
"id-31795806d58f4c8db0db254defcfdda6","AssociationRelationship","","","id-47f380599cc94b8ca20c64ed8bec0828","id-47f6a706fbe840ada566b4b789d1ddac",""
"id-d0f52f6e1cb04d30ac17570c55e92824","AssociationRelationship","","","id-78ec71fbb9394227bfb3170995938055","id-47f380599cc94b8ca20c64ed8bec0828",""
"id-983e3bbc48ee4709a6addd886f677000","AssociationRelationship","","","id-6d320d1260e14448b4e0cff6f3f45247","id-28599043c73e4558be7773b294e84f21",""
"id-04b6fe0e355a4757844b616cb35d924a","AssociationRelationship","","","id-6d320d1260e14448b4e0cff6f3f45247","id-dbcca911e3904ca3825d8afdb1bd660a",""
"id-2f5192c7438540ee9c492c8968d49fae","AssociationRelationship","","","id-ac1116e0f16644fb8e7de98a63095203","id-b3ebe190264f44eb8f097bdd832c9bcd",""
"id-63762fdd242f4ef29ebc136178e54821","AssociationRelationship","","","id-2accdb4060f14dad910274f4b40ade61","id-6d320d1260e14448b4e0cff6f3f45247",""
"id-45129e0b5699454fba5ad6f2d0dd4bfa","AssociationRelationship","","","id-2819a2fb04cc4ac9bfccd14866411d0d","id-47f380599cc94b8ca20c64ed8bec0828",""
"id-aaa411e7eaf545a08bfbfb8d2328e9b0","AssociationRelationship","","","id-908b4de8f85940c384eb222de94f1828","id-6d320d1260e14448b4e0cff6f3f45247",""
"id-81d1e9908a1543cc803183c6ee4d648e","AssociationRelationship","","","id-b3ebe190264f44eb8f097bdd832c9bcd","id-7b74021e1ce842c09707e783557ff383",""
"id-6c1db4683cf3411793077d34ba72eb84","AssociationRelationship","","","id-3d1957de567f4f298d15b8cb1f868daa","id-78ec71fbb9394227bfb3170995938055",""
"id-3c6711683ffb458f84cf3e9a44a67c78","AssociationRelationship","","","id-dbcca911e3904ca3825d8afdb1bd660a","id-f5779f784f04434a99f9eb1f77b30c6f",""
"id-4617cc06db784d9ca3f45c9759549a6e","AssociationRelationship","","","id-2accdb4060f14dad910274f4b40ade61","id-9ce28fda865346fa84d03eb53722dfb5",""
"id-d3c64e27352b4fd081c3a1b7f445bdd4","AssociationRelationship","","","id-f5779f784f04434a99f9eb1f77b30c6f","id-dc8f879815d146518aadeca231fde5aa",""
"id-f5a45ae0731f432c9b889d2c62ff29b0","AssociationRelationship","","","id-101523f3fea74255936a76cb9a31454a","id-3d1957de567f4f298d15b8cb1f868daa",""
"id-1550b28af0c04971a7105ca53f79433a","AssociationRelationship","","","id-4d1828925c854ddc9b91a63bd0445498","id-9ce28fda865346fa84d03eb53722dfb5",""
"id-dfb140aa5922488bb95b1826cc6baf5a","AssociationRelationship","","","id-b3ebe190264f44eb8f097bdd832c9bcd","id-dc8f879815d146518aadeca231fde5aa",""
"id-c4f4c28f953a4484bdd034824e33269f","AssociationRelationship","","","id-47f380599cc94b8ca20c64ed8bec0828","id-3d71601f4c7e4d6196d3444934c7e575",""
"id-8d9d0a23e59044a1a5cef9ecd7f65781","AssociationRelationship","","","id-81ffe04432294bbf8914aed6da2c909e","id-ac1116e0f16644fb8e7de98a63095203",""
"id-1606052917e14b238e42b5158c2eef7e","AssociationRelationship","","","id-2accdb4060f14dad910274f4b40ade61","id-3d1957de567f4f298d15b8cb1f868daa",""
"id-eb0f7a6aae8d48c1a746b214732add07","AssociationRelationship","","","id-f5779f784f04434a99f9eb1f77b30c6f","id-c7107f0b2e71484c816dac3930ab31ef",""
"id-941855cb71e548d69af74f46c8d8929b","AssociationRelationship","","","id-d7268eba4f734c21bc0d09f39e59629a","id-878bfaf8cefa43959409bd71aa40ac0c",""
"id-b49666dbe09f4efca915024948872001","AssociationRelationship","","","id-dc8f879815d146518aadeca231fde5aa","id-7e8aea51fd1e4b28807371065f16a768",""
"id-7c167406e39349c9a8074f6cb15c46a5","AssociationRelationship","","","id-4e8e6260c4a44060a4927fe09942f453","id-b3b74af891174589959fb100f2393276",""
"id-56d8464d534143ab97c8b311bcafb661","AssociationRelationship","","","id-f6f57c63463046da9267bccd66d0c0ae","id-dfec94800cef4328a41535d175ec466e",""
"id-3caa0d96f14c4aeab8d74a7b17a3c2a7","AssociationRelationship","","","id-ca647e228a7f45d9968d03a442801820","id-4e8e6260c4a44060a4927fe09942f453",""
"id-72b1027e0ab34e1db7be1fb39a37b66d","AssociationRelationship","","","id-b3b74af891174589959fb100f2393276","id-f6f57c63463046da9267bccd66d0c0ae",""
"id-53a6cf81895143308a4298cceb34c9e2","CompositionRelationship","","","id-3cbb27923dfc41e58b832855e649ff97","id-d7268eba4f734c21bc0d09f39e59629a",""
"id-0213cb8c9063463caaf9bdf367b78e1b","CompositionRelationship","","","id-7e8aea51fd1e4b28807371065f16a768","id-68c3a866175a47f7987f75b7998591ec",""
"id-aaefe942dde74cf09172484c26271fe2","CompositionRelationship","","","id-7e8aea51fd1e4b28807371065f16a768","id-4afdfc2452f04bff9e3d801505ba5e19",""
"id-1dfdc15fd19f403f9a6800b763a72e1e","CompositionRelationship","","","id-878bfaf8cefa43959409bd71aa40ac0c","id-0b6040572e35471c912fa09784dbc809",""
"id-b6b635027a6c40bca1f0f94e2f71c01b","CompositionRelationship","","","id-878bfaf8cefa43959409bd71aa40ac0c","id-ce54a32f5ff14a969235cc3ee3955a06",""
"id-524dc7cd375046ee98d29aeda2f94c6a","CompositionRelationship","","","id-8e1b0396a0a04ad6afe12aa03b23f499","id-40aa514cefc24824b20b9971bcc3817e",""
"id-82ca050b2c2d41d29b61d88c4c9e7604","CompositionRelationship","","","id-ca647e228a7f45d9968d03a442801820","id-2e6c364ed67348d58198521b1bc156f5",""
"id-a6acfcd288ee48c6972040ac75271198","CompositionRelationship","","","id-8e1b0396a0a04ad6afe12aa03b23f499","id-42e318da7de1492f801a575d6b495cf1",""
"id-c88dbe7ae5fb46ee84f7070f1b9a37b4","CompositionRelationship","","","id-8e1b0396a0a04ad6afe12aa03b23f499","id-d74f28de035d454a8fd3157f711558a9",""
"id-ec15775b07c9458b8fc19b9e7c84f6f3","CompositionRelationship","","","id-ca647e228a7f45d9968d03a442801820","id-6403a159a63a42cda9c6edeb0f5e7b67",""
"id-16ecc94d032843f29a639833342b8ce8","CompositionRelationship","","","id-ca647e228a7f45d9968d03a442801820","id-c8fcce88e32d4be7b2924ebe46d14d4a",""
"id-42421eee4eca4b45a4ebcbad894ec45f","FlowRelationship","","","id-590729abd76b40c78db86f0adcbbf5ba","id-68c3a866175a47f7987f75b7998591ec",""
"id-3ba7f9a52115498380f6c2fbea87bfe9","FlowRelationship","","","id-68c3a866175a47f7987f75b7998591ec","id-4afdfc2452f04bff9e3d801505ba5e19",""
"id-3bda045ee7214a25afc149c05efeb94a","FlowRelationship","","","id-4afdfc2452f04bff9e3d801505ba5e19","id-2597a4ffb22c43b9a83fa657400aa0a8",""
"id-5c269fac8aab4373a83d1c8b64495b43","FlowRelationship","","","id-cc0aaadfcae942ae86b9bc28c2bcb40c","id-0b6040572e35471c912fa09784dbc809",""
"id-956198abfea7468eb23e73b12575e042","FlowRelationship","","","id-0b6040572e35471c912fa09784dbc809","id-ce54a32f5ff14a969235cc3ee3955a06",""
"id-79c1d3aff3bf4e1db91b9759aa958c59","FlowRelationship","","","id-ce54a32f5ff14a969235cc3ee3955a06","id-b01a69a625b645d69065e5600abc7c7c",""
"id-b7a61fe24b0c466ab8477312e0e9f97e","FlowRelationship","","","id-40aa514cefc24824b20b9971bcc3817e","id-42e318da7de1492f801a575d6b495cf1",""
"id-95809d5b4588461db24cdffbcf3523f7","FlowRelationship","","","id-d74f28de035d454a8fd3157f711558a9","id-40aa514cefc24824b20b9971bcc3817e",""
