"ID","Type","Name","Documentation","Specialization"
"id-b1d1f5dba3a84b708128c226396a37a2","ArchimateModel","Interlibrary Loan","",""
"id-b26b1e334e73402daaa730b456e4cbe7","BusinessActor","Dosen/Tendik/Mahasiswa","",""
"id-fb3ebd7438b24772995eecc8f46b6184","BusinessEvent","Memproses permintaan","",""
"id-8d33d11771a04011a26b43aec4c7e994","BusinessEvent","Menampilkan hasil pencarian","",""
"id-029281d2f417475fa50d0f958cb36214","BusinessEvent","Mengisi form pencarian","",""
"id-3af0e4854449488599784485dcb6a88f","BusinessInterface","Website","",""
"id-017483c7451b47abaccb2c0a8e11f111","BusinessProcess","Mencari koleksi buku","",""
"id-7d29db2d68b44f13aa10baa1a7f36029","BusinessRole","Pemustaka","",""
"id-7a27bb8ddfa94ae182a94b6817fabbe8","BusinessService","Pencarian koleksi buku","",""
"id-2e61c5adbc394035a134aebc68b80d6d","ApplicationComponent","Komponen koleksi buku","",""
"id-04825f283da1400689f434e7a21c6a1e","ApplicationFunction","Pencarian koleksi","",""
"id-812c29ce2c35445eb03889a7242e8b22","ApplicationInterface","Antarmuka pencarian buku","",""
"id-aeb8217720a54b83a7003e99d7c5a241","ApplicationProcess","Mencari koleksi","",""
"id-fd453ed7d5284573a388d2388dd6c506","ApplicationService","Service pencarian buku","",""
"id-fbbae5d65d5f49b5ae8a33ffab10276a","DataObject","Data koleksi buku","",""
"id-f6bfb5696c364ec191eabce010822af1","CommunicationNetwork","LAN","",""
"id-0ee8936edf874f06838c882383a60ad4","CommunicationNetwork","WAN/WLAN","",""
"id-8b96183ce76b4dfca530b8a29247947f","Device","User device","",""
"id-0aed695e83594796a0a7bf7da0517ed8","Node","DBMS","",""
"id-cf9415a0535e49c5a443dca022c8bcea","Node","Firewall","",""
"id-2ced4b7e549a46dcbfbb2f97867c541d","Node","Main server","",""
"id-e354027336844b529ddb22ff31fa4e45","Node","Server","",""
"id-c6ddcab8eeb6402dafa6bb0acbf82bc0","TechnologyEvent","Menampilkan form pencarian","",""
"id-775411f2e2904e788cc5ec8c3a8c9616","TechnologyEvent","Menampilkan hasil pencarian","",""
"id-8ac91209295b4b0189b4f1f8d929ecfc","TechnologyFunction","Mencari koleksi buku","",""
"id-f879664c55c1451da10f82a383c57647","TechnologyProcess","Melakukan pencarian","",""
"id-a3eb7fc9460444ed93f8c15d4177d8a4","TechnologyService","Database sevice","",""
"id-26e7141829da49e580acc6775135be38","TechnologyService","Network service","",""
"id-d650aec6d47e408b86b6d1b24760c357","Driver","Kesulitan dalam mendapatkan buku","",""
"id-26f1eed5d6684b5a8195d6db2cce6560","Driver","Manajemen pendataan buku yang kurang optimal","",""
"id-f8b83a76c4d64a7fb9353bb7988e2500","Driver","Pengelolaan administrasi yang kurang optimal","",""
"id-f775ac11d6a64846a6132b70a39d1f50","Goal","Lebih mudah dalam mendapatkan buku","",""
"id-3dcc224a78804acd9e183c0b59ebe386","Goal","Membangun sistem manajemen buku yang lebih optimal","",""
"id-9562dc01ab684741bc3deb0c04519118","Goal","Mengoptimalkan pengelolan adminstrasi","",""
"id-80f73a87372641db9c613be56775fc33","Outcome","Meningkatkan efisiensi administrasi","",""
"id-ce2ca0d060a448c9934d0acc3bd48f71","Outcome","Meningkatkan efisiensi manajemen pendataan buku","",""
"id-d5e7e5fb39094dfd8b97e4b2da67cf03","Outcome","Meningkatkan minat baca mahasiswa","",""
"id-e6f89d3bcc1d489185986089cf3f4b9f","Requirement","Manajemen pendataan buku ","",""
"id-060d86a1d46249baa114900f9982e371","Requirement","Melakukan perpanjangan (extend) peminjaman buku","",""
"id-de397db0bb5143fcbd3dd7921d80e68a","Requirement","Mencari koleksi buku","",""
"id-04dddcbbb49149f290fa79668f0c6b0f","Requirement","Mengelola akun pengguna","",""
"id-6c13a21fc0cc4e6488ed406e1bd29878","Requirement","Pelaporan dan analisis","",""
"id-666422d33d9b4dbb9856ab178e42cad0","Requirement","Peminjaman buku","",""
"id-67cfd2b9fc7f4a47a252643fa4968203","Requirement","Pengembalian buku","",""
"id-3049e3f20eeb4210878385bb5cda24ec","Stakeholder","Pemustaka","",""
"id-233ee7ec628a44ceaf1ef13d63c8047a","Stakeholder","Staf","",""
