"ID","Key","Value"
"id-7814ead4b7d743f0b089fd69b5c042fa","Directed","false"
"id-cc4df25a6be64e068be894337e2ce61d","Directed","false"
"id-a585e754baf8428bbec0f44001929203","Directed","false"
"id-e7ccbd8acdd5416cbfe132cbd10f2d59","Directed","false"
"id-0c23b7225ffd44b187729679857d9b92","Directed","false"
"id-17ced24115b5421ea66b44fe2ad1c315","Directed","false"
"id-115926312178452e96fa0bbdcb0f07ca","Directed","false"
"id-90aad371bca344e594717c2b5296c06f","Directed","false"
"id-80e6f684fc194cb28616363be32668c5","Directed","false"
"id-37599f8bda0746f8903bcfd13e54d9b3","Directed","false"
"id-1563494620ba4d07b65eb1684e7d5e2a","Directed","false"
"id-8b50b7c9bdf349049b7c023118afac3b","Directed","false"
"id-4b9dac521beb4844a92622e9fa72050b","Access_Type","Write"
"id-6739c285f00f4ca98a840b805ab20bbd","Directed","false"
"id-37e87f572983478da89c0c8c00058a4e","Directed","false"
"id-8fe34655daaf4402b958fd6c31c0fdd0","Directed","false"
"id-0f2187d627774fe1bca986ca0e89f1c1","Directed","false"
