"ID","Type","Name","Documentation","Specialization"
"id-7ef134f3cdf440cb93a32ee7e35ce71d","ArchimateModel","UTS_TKTI_5025201024_Raden Pandu A R","",""
"id-e25e1100f28c4f0a8b736c40647fe066","BusinessActor","Staff","",""
"id-7fed3c362f8f4bb1a69caa72abebe16f","BusinessEvent","Mengecek Denda  ","",""
"id-65d14665000640f0a4d85ca2a98caaa5","BusinessEvent","Notifikasi denda","",""
"id-f6996ffa659e4d529f8795237ec8e309","BusinessEvent","Request Pengembalian koleksi","",""
"id-041ca97f132e49588fd327fdc4a5a66b","BusinessInterface","Website","",""
"id-75b3cec58149416299dcba9621c14d48","BusinessProcess","Memeriksa kondisi buku","",""
"id-f1a6d37059bc43bfaff2d9a4a9ef682b","BusinessProcess","Mencatat informasi pengembalian","",""
"id-c619dd4684f04043ae2b3ac888366483","BusinessProcess","Mencatat informasi pengembalian (copy)","",""
"id-8862f9659d254bd9a6d83ff5e40205e0","BusinessProcess","Mengelola Pengembalian Buku","",""
"id-44de40c5c07a4476bfc0072bd1b6c058","BusinessProcess","menghitung denda","",""
"id-3a6ff58709134a4095398c806c78d2f9","BusinessProcess","Update status buku","",""
"id-03fbec9ec7094cea9e8bf301bd12c8d8","BusinessProcess","Verifikasi Indetitas Peminjam","",""
"id-2c308c3a2b104d049bf0844825b5ef69","BusinessRole","Admin","",""
"id-aed00a80591840b7b4cc1812fbba5f58","BusinessService","Mengelola Pengembalian Buku","",""
"id-1089e186dfc44654be4a77f4de6c28ab","ApplicationComponent","Web Portal","",""
"id-11d233fe58d44a609ff27c93e109523e","ApplicationFunction","Update Status buku","",""
"id-0c31d5a3ae75443780f0bc0613c7b238","ApplicationInterface","Website","",""
"id-8b4052f6dfec43eea0d6ce1942e1ab30","ApplicationService","Mengelola peminjaman buku","",""
"id-32cce5031ea546f296da5d9a32cdcc73","DataObject","Database","",""
"id-46b9a53daac745389fd59b34c8e89eb9","CommunicationNetwork","Internet","",""
"id-9d3349f7368d4009b5f3a0bcc18eaecd","Device","Personal Device","",""
"id-35af5eec23b24621895ee35e2ec67aff","Facility","Hostinger","",""
"id-2ca7ea6f83fd43859cc46717f0e3fb02","Node","Web Server","",""
"id-cf114f25a0c74682ad8d78ae02ae36fa","SystemSoftware","DBMS","",""
"id-c738d1080f2b4a08ba63851ea45d6b96","TechnologyFunction","Update status","",""
"id-e484764cd558446784dbbc41f49aa6ff","TechnologyInterface","Website","",""
"id-d7475e1398b0407d8f8d153b3321d0cb","TechnologyService","Technology Service","",""
"id-4febc7718d26438d8195b294bb9cc657","Driver","Kesulitan dalam mendapatkan buku","",""
"id-3b48e3f2f44441caa5a26b26cd2705e9","Driver","Manajemen pendataan buku yang kurang optimal","",""
"id-a118d3cf71674fd78b20499cbb770320","Driver","Pengelolaan administrasi yang kurang optimal","",""
"id-57a27ede65af467fb649d785fdfd423a","Goal","Lebih mudah dalam mendapatkan buku","",""
"id-73e1f9bacb6c4fda85b54fa6a79f2f3f","Goal","Membangun sistem manajemen buku yang lebih optimal","",""
"id-ec26887556ba4f9ea0b95f9ca78be312","Goal","Mengoptimalkan pengelolan adminstrasi","",""
"id-31ea6e04da8041b48fae4d7f98f6eca2","Outcome","Meningkatkan efisiensi administrasi","",""
"id-b92e30012b1c4961961eeab5aaedc6c3","Outcome","Meningkatkan efisiensi manajemen pendataan buku","",""
"id-66822213a5244ec0b41a49edf4486cd8","Outcome","meningkatkan minat baca mahasiswa","",""
"id-9281bb252c5943f08673cae3812b3a79","Requirement","Manajemen pendataan buku ","",""
"id-4c62cbab028c48b499489e40d626767e","Requirement","Melakukan Perpanjangan (Extend) Peminjaman Buku","",""
"id-5da994fed08943c5af93487dc270dc35","Requirement","Mencari koleksi buku","",""
"id-aaa93dee298a448eb4a5d6f65e3285a6","Requirement","mengelola akun pengguna","",""
"id-6f14064c97e24697b602706ae200e4ff","Requirement","Pelaporan dan analisis","",""
"id-3f0958a5751642e08b94892bdb35e157","Requirement","Peminjaman buku","",""
"id-532e5b81bb624a09bf7c4cca383765c6","Requirement","Pengembalian buku","",""
"id-2f2023b3a8a8421b9f78e32f90fa1d5e","Stakeholder","Pemustaka","",""
"id-3c602309839046a78cfda47c76457511","Stakeholder","Staf","",""
