"ID","Key","Value"
"id-752496f5c4a2460797c0cb8b54c8d231","Directed","false"
"id-029062ea5d594c0fb7a570e6c6163d73","Directed","false"
"id-fb2fcf1d9ddd40d2a57f86f7c7161571","Directed","false"
"id-ad2299480a8e457da4c1b68966aa6632","Directed","false"
"id-0abb22d6d4a04b55b947badd8111d903","Directed","false"
"id-187bf6fe00e448eea1df962564666676","Directed","false"
"id-95d1dc8030ad4d228c48240ae1ba8ee3","Directed","false"
"id-e3b61bd5665445b1966c0599a64ef147","Directed","false"
"id-e2830a64d5f94cd2b66e5eda2cb4eb0b","Directed","false"
"id-e3f1c428b844463da4824232ed2df293","Directed","false"
"id-3e63999385ff4e459253d543bf38a6d9","Directed","false"
"id-e75685f9302d4a34ae237d44aba7c7f4","Directed","false"
"id-5980d22aabf548bab61e7e1fc8003d14","Access_Type","Write"
"id-08e257e501b34d68b588161e88c90216","Directed","false"
"id-96d23965d7e942338277dce6ae389c61","Directed","false"
