"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-5980d22aabf548bab61e7e1fc8003d14","AccessRelationship","","","id-1089e186dfc44654be4a77f4de6c28ab","id-32cce5031ea546f296da5d9a32cdcc73",""
"id-c30d7c61f8f34853b1d4029f5b88aa19","AssignmentRelationship","","","id-e25e1100f28c4f0a8b736c40647fe066","id-2c308c3a2b104d049bf0844825b5ef69",""
"id-b899d756a8a24044af06e9eb17f6aaed","AssignmentRelationship","","","id-1089e186dfc44654be4a77f4de6c28ab","id-11d233fe58d44a609ff27c93e109523e",""
"id-4d838b52183b4e0ba677051442b47741","AssignmentRelationship","","","id-0c31d5a3ae75443780f0bc0613c7b238","id-8b4052f6dfec43eea0d6ce1942e1ab30",""
"id-cdaffef0e0344e6b9079ac8e1a9bb598","AssignmentRelationship","","","id-cf114f25a0c74682ad8d78ae02ae36fa","id-c738d1080f2b4a08ba63851ea45d6b96",""
"id-752496f5c4a2460797c0cb8b54c8d231","AssociationRelationship","","","id-b92e30012b1c4961961eeab5aaedc6c3","id-73e1f9bacb6c4fda85b54fa6a79f2f3f",""
"id-029062ea5d594c0fb7a570e6c6163d73","AssociationRelationship","","","id-73e1f9bacb6c4fda85b54fa6a79f2f3f","id-3b48e3f2f44441caa5a26b26cd2705e9",""
"id-fb2fcf1d9ddd40d2a57f86f7c7161571","AssociationRelationship","","","id-31ea6e04da8041b48fae4d7f98f6eca2","id-ec26887556ba4f9ea0b95f9ca78be312",""
"id-ad2299480a8e457da4c1b68966aa6632","AssociationRelationship","","","id-a118d3cf71674fd78b20499cbb770320","id-ec26887556ba4f9ea0b95f9ca78be312",""
"id-0abb22d6d4a04b55b947badd8111d903","AssociationRelationship","","","id-3b48e3f2f44441caa5a26b26cd2705e9","id-3c602309839046a78cfda47c76457511",""
"id-187bf6fe00e448eea1df962564666676","AssociationRelationship","","","id-a118d3cf71674fd78b20499cbb770320","id-3c602309839046a78cfda47c76457511",""
"id-95d1dc8030ad4d228c48240ae1ba8ee3","AssociationRelationship","","","id-66822213a5244ec0b41a49edf4486cd8","id-57a27ede65af467fb649d785fdfd423a",""
