"ID","Type","Name","Documentation","Specialization"
"id-2ef1b02cae184d8c8985b1e332ced38a","ArchimateModel","ETS - Lingkar Puan","",""
"id-e3512a43ce2f4fa285c1a18068c6a97a","BusinessActor","Puan, Rekan Cerita, Rekan Hukum","",""
"id-2db10ab0bfd7486b842ebec46b68a79f","BusinessActor","Puan, Rekan Cerita, Rekan Hukum (copy)","",""
"id-6d7c49a4b3244827bd517ca2b4117f1f","BusinessEvent","Melihat Artikel Saya","",""
"id-105c555939094b2ba7cfa40c5effd389","BusinessEvent","Melihat judul-judul artikel","",""
"id-4eff5921b0484a748a84f4d81dec46a3","BusinessEvent","Melihat riwayat artikel yang telah dibuat (copy)","",""
"id-575eb59dc90f4f7090c26622ba14b34a","BusinessEvent","Melihat Status Artikel","",""
"id-a0362c7e301f4d78acd6b1568d74424b","BusinessEvent","Melihat Status Artikel Tertentu","",""
"id-d175770af0ac4913888121a851756f37","BusinessEvent","Pengguna masuk ke dalam akun","",""
"id-7e61a8bfa4a0430f975acebfd22963fe","BusinessEvent","Pengguna masuk ke dalam akun (copy)","",""
"id-1e1bef05dab34ec781e5e6d8c4c339b1","BusinessEvent","Pengguna menekan 'Artikel Saya'","",""
"id-d2bd2ae72dce40078c58c6f0ec7aa83a","BusinessEvent","Pengguna menekan 'Artikel Saya' (copy)","",""
"id-5a508005b61842dda0ad77b7a77f4eb5","BusinessEvent","Pengguna menekan 'Tulis Artikel'","",""
"id-81e21b097dc64dd5a368836805def67e","BusinessEvent","Pengguna menekan 'Tulis Artikel' (copy)","",""
"id-22b68ae0df0f4bedbbda6a6439a9620c","BusinessEvent","Pengguna menekan 'Tulis Artikel' (copy) (copy)","",""
"id-9f9c0050fb12443f897676f689ed4f12","BusinessFunction","Verifikasi Artikel oleh Tim Penilik ","",""
"id-e78571e7ff5246559c7ed6ab49bf2739","BusinessFunction","Verifikasi Artikel oleh Tim Penilik  (copy)","",""
"id-e9ee50276a8747f28bde4952b2179f57","BusinessFunction","Verifikasi Artikel oleh Tim Penilik  (copy) (copy)","",""
"id-34f9868e50eb4b75952884d9e14687d4","BusinessFunction","Verifikasi Artikel oleh Tim Penilik  (copy) (copy) (copy)","",""
"id-8a7a2d0ae0c6415a9822405daf32bdc2","BusinessObject","Data Artikel","",""
"id-81b1822515724d289bf72efcc92c5237","BusinessObject","Data Artikel","",""
"id-b5b066fca26c413fb0ad222505cc68ce","BusinessObject","Data Artikel (copy)","",""
"id-db231250038845529965010c4d5e3a50","BusinessObject","Data Artikel (copy)","",""
"id-ae4287fa1380459a84e28abe12ac18dc","BusinessProcess","Artikel Terunggah","",""
"id-c92b33bafe884444b6f30a42580ae7c9","BusinessProcess","Artikel Terunggah (copy)","",""
"id-bb780a0f0c0c42f3b5c18d89e5d374cc","BusinessProcess","Artikel Terunggah (copy) (copy)","",""
"id-0ab31710fc624421a2c0003b09048890","BusinessProcess","Artikel Terunggah (copy) (copy) (copy)","",""
"id-f31d1784f3b04413a5c7fcfc3c7f5cab","BusinessProcess","Menampilan Detail Artikel yang dipilih","",""
"id-66ecf6c76dea40fc93cf44477279c7ff","BusinessProcess","Menampilkan Detail Artikel yang telah dibuat","",""
"id-5d4770a807514e118b75abdf09bcaeb3","BusinessProcess","Menggunggah Artikel","",""
"id-57cc68507d8647dd874baab3e16a5d53","BusinessProcess","Menggunggah Artikel (copy)","",""
"id-25fd18219bdf4d2c8c0729c95cc4076c","BusinessProcess","Menggunggah Artikel (copy) (copy)","",""
"id-7a6b506dec04463db645f7f8cac675c6","BusinessProcess","Menggunggah Artikel (copy) (copy) (copy)","",""
"id-6254e347da984f798a1c82e7e4facd6c","BusinessProcess","Mengisi judul untuk artikel","",""
"id-baed1f1056e34e5ca799082654763b7a","BusinessProcess","Mengisi judul untuk artikel (copy)","",""
"id-90a88a547f3044e2b1462a0508680861","BusinessProcess","Mengisi judul untuk artikel (copy) (copy)","",""
"id-4ea0a4eb3498420abc0199e424cdea32","BusinessProcess","Mengisi judul untuk artikel (copy) (copy) (copy)","",""
"id-03bc32330d0349eaadff596505c76a26","BusinessProcess","Menuliskan isi artikel yang ingin dibagikan","",""
"id-00f1cb49c04d43d882d9452105f878e8","BusinessProcess","Menuliskan isi artikel yang ingin dibagikan (copy)","",""
"id-2fe0484a00fa4da79674456be43f600d","BusinessProcess","Menuliskan isi artikel yang ingin dibagikan (copy) (copy)","",""
"id-ff4df91d6bad4c5ca5fd9d4d08857b81","BusinessProcess","Menuliskan isi artikel yang ingin dibagikan (copy) (copy) (copy)","",""
"id-c3537e3f36f54bb7b98bfd4defa5d57a","BusinessProcess","Pembuatan Artikel","",""
"id-955e67cbd4254b2aa4c6e1713feb8585","BusinessProcess","Pembuatan Artikel dan Riwayat Pembuatan Artikel (copy)","",""
"id-ee093c1b851c463bae34804212076948","BusinessProcess","Pembuatan Artikel dan Riwayat Pembuatan Artikel (copy) (copy)","",""
"id-5857d318c14e47019e70ec0fa6260f13","BusinessProcess","Pembuatan Artikel dan Riwayat Pembuatan Artikel (copy) (copy) (copy)","",""
"id-8ecfd23917504b8f91caaf80434a3181","BusinessProcess","Pengelolaan Artikel","",""
"id-7194aaab9da34190960078d7d748a8b1","BusinessProcess","Riwayat Artikel yang Telah Dibuat","",""
"id-66ce49f24879423e88c8e726319e9ebc","ApplicationComponent","Artikel","",""
"id-5888f7f83428460fa8bfaf975e773b61","ApplicationComponent","Artikel Saya","",""
"id-8698fd8b0b9946eea75144090e7e4eb8","ApplicationComponent","Konsultasi","",""
"id-8aa3634fd66b4414aa1cd58986c2de5d","ApplicationEvent","Ajuan konsultasi hukum berhasil","",""
"id-5f9d3cc9b2d8460892b989d1df3ef9a7","ApplicationEvent","Ajuan konsultasi psikologi berhasil","",""
"id-645d2cb4a9a84d5fae7a2d50c3ec9c5e","ApplicationEvent","Mengirim komentar","",""
"id-4d6668a60a2542889b2947a6ce68c541","ApplicationFunction","Melakukan pencarian artikel terdahulu","",""
"id-2ac62ebfc89a4de298521ce46551736a","ApplicationFunction","Membaca Artikel dan Memberikan Komentar","",""
"id-b48f05f72bc84db3b1a1ac0b18dde1af","ApplicationFunction","Memfasilitasi Konsultasi Hukum Online","",""
"id-e90928a1c8324d17bdd7a6b9095a55b9","ApplicationFunction","Memfasilitasi Konsultasi Psikolog Online","",""
