"ID","Key","Value"
"id-85dcfc1430c74147a7929587bdd946b1","Directed","false"
"id-61d7083e0ed14c89b37b19e9506f2253","Directed","false"
"id-9b0c77526cb2440dbc5e03ed6f86daa2","Directed","false"
"id-6073ddce8f4d4ee99b48bd0b68afa884","Directed","false"
"id-c4025597536e42259a2c0ef66f89598b","Directed","false"
"id-fe1f83afe38c4ae19804ba111cb9be55","Directed","false"
"id-8a7fa7adfa2c4702a32dd4d99e33e9d1","Directed","false"
"id-31f960b5772249c39a2500074c4c3976","Directed","false"
"id-86b9bf4e999d4c0f81529748c4c95b90","Directed","false"
"id-3c981df902594d66bf36250c5c1dd885","Directed","false"
"id-c868bfa540b8463b85a937725301320e","Directed","false"
"id-17a06d2572464b54880c538f77aba678","Directed","false"
"id-cd8612f1cad9412f8ff6f496129d9909","Directed","false"
"id-2f7765b7aaf74e36873ccd28297ccc08","Directed","false"
"id-939bc64f886a43079e4647d35999e43f","Directed","false"
"id-c16a34e07d3a4559bd2a435cf2ae0084","Directed","false"
"id-75e86d119e0a43a4ac858880e269e6fb","Directed","false"
"id-dc1f50c2fe154f029b231691b1e36607","Directed","false"
"id-b22d4affd8514758b76b38b43d69f0fc","Directed","false"
"id-ed9b3d69c48f4e6aac9bb08e1126bf65","Directed","false"
"id-0fbfaee1aba94b80ab80e29d79f466a9","Directed","false"
"id-430fc68949e645bd82e0ee3e627df265","Directed","false"
"id-ec2c0d12e9d54f8b8cc7d2d13e1a28d8","Directed","false"
"id-70ed5a47dc1d4858b2e6e495e63496f9","Directed","false"
"id-0689d6b7d86148c28f4cb29c55a86bf6","Directed","false"
"id-555f3e406613423c839994da70602b6e","Access_Type","Write"
"id-d80943c3090749eeb1e09a9ead17501c","Directed","false"
"id-b87eb48014b946dca494f47b990dda96","Directed","false"
"id-b0a8887f689b4c1797fd01f9586286c6","Access_Type","Write"
"id-694740fe5fce4ef9852b1bab1c5aaf1d","Directed","false"
"id-31244bd8af984292b7ceeb0754989aea","Directed","false"
"id-d773892bc88d4a3186a104041dfa7ea1","Directed","false"
"id-ad2ada61e061496abd5d0ae33979d641","Directed","false"
"id-00c4de3c625340d4bc26021e22602a64","Access_Type","Write"
"id-6408bf14278443b5b851098d59ec30b6","Access_Type","Write"
"id-907f1650fffd4c17afb29c314d20341f","Directed","false"
"id-686f7ddd00e8414db741b0d0315107c0","Access_Type","Write"
"id-1c3f9da11b4e46298bfa244d27678ce7","Directed","false"
"id-9a8fa92a020c4ff3a6adda5a0ab7b21d","Directed","false"
"id-15eb571495c0433db3d8dee19f62ca68","Access_Type","Write"
"id-a6968e6702e547d9bcec8c860ad599dd","Access_Type","Write"
"id-578d588108024ba58c11e4c71bc8d7e4","Directed","false"
"id-e61f0404c0d74624b10504723efc31cb","Directed","false"
"id-eea6344cb85f4bf4b9321b5280e9379a","Directed","false"
"id-c9ef699d5ae3434bbbb4369ba841c14f","Access_Type","Write"
"id-086334e4ea254f9c90d74f2f395ac531","Access_Type","Write"
"id-aabc025108614d1cb6828ca6b1cb7cc9","Access_Type","Write"
"id-5288ac2f36b04fe1838b51c9727b41a8","Directed","false"
"id-e2355e3a68c74c47809022342865cff9","Directed","false"
"id-90fc918ae1d94eac9ea12837ced5b5da","Directed","false"
"id-d077af4a9d2b4e049f8c5d327517812c","Directed","false"
"id-13fc9653da0e48a2802f15c93a59993c","Directed","false"
"id-0abef1ca1185454ca35d68d3224482c9","Access_Type","Write"
