"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-555f3e406613423c839994da70602b6e","AccessRelationship","","","id-c3537e3f36f54bb7b98bfd4defa5d57a","id-8a7a2d0ae0c6415a9822405daf32bdc2",""
"id-b0a8887f689b4c1797fd01f9586286c6","AccessRelationship","","","id-955e67cbd4254b2aa4c6e1713feb8585","id-b5b066fca26c413fb0ad222505cc68ce",""
"id-00c4de3c625340d4bc26021e22602a64","AccessRelationship","","","id-7194aaab9da34190960078d7d748a8b1","id-8a7a2d0ae0c6415a9822405daf32bdc2",""
"id-6408bf14278443b5b851098d59ec30b6","AccessRelationship","","","id-c3537e3f36f54bb7b98bfd4defa5d57a","id-81b1822515724d289bf72efcc92c5237",""
"id-686f7ddd00e8414db741b0d0315107c0","AccessRelationship","","","id-105c555939094b2ba7cfa40c5effd389","id-81b1822515724d289bf72efcc92c5237",""
"id-15eb571495c0433db3d8dee19f62ca68","AccessRelationship","","","id-fbc732f5027547f4a73aeed0912c317b","id-72f6c8e722e5476db266713cc32f30b8",""
"id-a6968e6702e547d9bcec8c860ad599dd","AccessRelationship","","","id-a5b833727add42c7b45f75440ded56ec","id-72f6c8e722e5476db266713cc32f30b8",""
"id-c9ef699d5ae3434bbbb4369ba841c14f","AccessRelationship","","","id-2ac62ebfc89a4de298521ce46551736a","id-8b4d87289dbe4484bb88ab85f027c843",""
"id-086334e4ea254f9c90d74f2f395ac531","AccessRelationship","","","id-e90928a1c8324d17bdd7a6b9095a55b9","id-08d746845e0c4af6a97976e82d43920a",""
"id-aabc025108614d1cb6828ca6b1cb7cc9","AccessRelationship","","","id-b48f05f72bc84db3b1a1ac0b18dde1af","id-6589a735be5843b4b9fde2a7bd301078",""
"id-0abef1ca1185454ca35d68d3224482c9","AccessRelationship","","","id-a96ff57559ac4041948dbd0db27ff819","id-41b9811853e04c5f9737ee7ebf68d8de",""
"id-9192c403663742da81e103105908f326","AssignmentRelationship","","","id-e3512a43ce2f4fa285c1a18068c6a97a","id-c3537e3f36f54bb7b98bfd4defa5d57a",""
"id-8c8b18a6b69943c8902c9ec510e8a186","AssignmentRelationship","","","id-2db10ab0bfd7486b842ebec46b68a79f","id-955e67cbd4254b2aa4c6e1713feb8585",""
"id-0ca6c46b291b450bb8fad7226fc49d45","AssignmentRelationship","","","id-8698fd8b0b9946eea75144090e7e4eb8","id-e90928a1c8324d17bdd7a6b9095a55b9",""
